%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.header.seq,field.status.header.stamp,field.status.header.frame_id,field.status.satellites_used,field.status.satellites_visible,field.status.status,field.status.motion_source,field.status.orientation_source,field.status.position_source,field.latitude,field.longitude,field.altitude,field.track,field.speed,field.climb,field.pitch,field.roll,field.dip,field.time,field.gdop,field.pdop,field.hdop,field.vdop,field.tdop,field.err,field.err_horz,field.err_vert,field.err_track,field.err_speed,field.err_climb,field.err_time,field.err_pitch,field.err_roll,field.err_dip,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1704780814147498136,11906,0,,0,0,,0,0,0,0,0,0,36.90414751,118.16648417,25.44,0.0,0.007,0.0,-0.54,0.01,271.24,195233.5,0.0,0.0,0.003,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780814247278566,11907,0,,0,0,,0,0,0,0,0,0,36.90414751,118.16648417,25.44,0.0,0.007,0.0,-0.54,0.01,271.24,195233.6,0.0,0.0,0.003,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780814347839803,11908,0,,0,0,,0,0,0,0,0,0,36.90414751,118.16648418,25.44,0.0,0.007,0.0,-0.54,0.01,271.24,195233.7,0.0,0.0,0.003,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780814447665839,11909,0,,0,0,,0,0,0,0,0,0,36.90414751,118.16648417,25.44,0.0,0.008,0.0,-0.54,0.01,271.24,195233.8,0.0,0.0,0.003,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780814548315055,11910,0,,0,0,,0,0,0,0,0,0,36.90414751,118.16648418,25.44,0.0,0.007,0.0,-0.54,0.01,271.24,195233.9,0.0,0.0,0.004,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780814647766861,11911,0,,0,0,,0,0,0,0,0,0,36.90414751,118.16648417,25.44,0.0,0.007,0.0,-0.54,0.01,271.24,195234.0,0.0,0.0,0.003,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780814747748966,11912,0,,0,0,,0,0,0,0,0,0,36.90414751,118.16648418,25.44,0.0,0.007,0.0,-0.54,0.01,271.24,195234.1,0.0,0.0,0.003,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780814846970689,11913,0,,0,0,,0,0,0,0,0,0,36.90414751,118.16648417,25.44,0.0,0.007,0.0,-0.54,0.01,271.24,195234.2,0.0,0.0,0.003,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780814948388967,11914,0,,0,0,,0,0,0,0,0,0,36.9041475,118.16648419,25.44,0.0,0.007,0.0,-0.54,0.01,271.24,195234.3,0.0,0.0,0.003,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780815047580060,11915,0,,0,0,,0,0,0,0,0,0,36.9041475,118.16648418,25.44,0.0,0.007,0.0,-0.54,0.01,271.24,195234.4,0.0,0.0,0.003,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
