%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.header.seq,field.status.header.stamp,field.status.header.frame_id,field.status.satellites_used,field.status.satellites_visible,field.status.status,field.status.motion_source,field.status.orientation_source,field.status.position_source,field.latitude,field.longitude,field.altitude,field.track,field.speed,field.climb,field.pitch,field.roll,field.dip,field.time,field.gdop,field.pdop,field.hdop,field.vdop,field.tdop,field.err,field.err_horz,field.err_vert,field.err_track,field.err_speed,field.err_climb,field.err_time,field.err_pitch,field.err_roll,field.err_dip,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1704781114553763726,14911,0,,0,0,,0,0,0,0,0,0,36.90474509,118.16621988,25.8,0.0,0.01,0.0,-0.91,-1.13,329.41,195534.0,0.0,0.0,0.009,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704781114653640803,14912,0,,0,0,,0,0,0,0,0,0,36.9047451,118.16621988,25.8,0.0,0.011,0.0,-0.91,-1.13,329.41,195534.1,0.0,0.0,0.009,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704781114752988525,14913,0,,0,0,,0,0,0,0,0,0,36.90474511,118.16621988,25.8,0.0,0.011,0.0,-0.91,-1.13,329.41,195534.2,0.0,0.0,0.01,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704781114854044819,14914,0,,0,0,,0,0,0,0,0,0,36.90474512,118.16621988,25.8,0.0,0.011,0.0,-0.91,-1.13,329.41,195534.3,0.0,0.0,0.01,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704781114953860297,14915,0,,0,0,,0,0,0,0,0,0,36.90474513,118.16621987,25.8,0.0,0.012,0.0,-0.91,-1.13,329.41,195534.4,0.0,0.0,0.01,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704781115053504849,14916,0,,0,0,,0,0,0,0,0,0,36.90474513,118.16621988,25.8,0.0,0.012,0.0,-0.91,-1.13,329.41,195534.5,0.0,0.0,0.01,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704781115153127085,14917,0,,0,0,,0,0,0,0,0,0,36.90474514,118.16621987,25.8,0.0,0.012,0.0,-0.91,-1.13,329.41,195534.6,0.0,0.0,0.011,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704781115253969843,14918,0,,0,0,,0,0,0,0,0,0,36.90474515,118.16621987,25.8,0.0,0.013,0.0,-0.91,-1.13,329.41,195534.7,0.0,0.0,0.011,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704781115353489038,14919,0,,0,0,,0,0,0,0,0,0,36.90474516,118.16621986,25.8,0.0,0.013,0.0,-0.91,-1.13,329.41,195534.8,0.0,0.0,0.011,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704781115454376409,14920,0,,0,0,,0,0,0,0,0,0,36.90474516,118.16621987,25.8,0.0,0.012,0.0,-0.91,-1.13,329.41,195534.9,0.0,0.0,0.011,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
