%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.header.seq,field.status.header.stamp,field.status.header.frame_id,field.status.satellites_used,field.status.satellites_visible,field.status.status,field.status.motion_source,field.status.orientation_source,field.status.position_source,field.latitude,field.longitude,field.altitude,field.track,field.speed,field.climb,field.pitch,field.roll,field.dip,field.time,field.gdop,field.pdop,field.hdop,field.vdop,field.tdop,field.err,field.err_horz,field.err_vert,field.err_track,field.err_speed,field.err_climb,field.err_time,field.err_pitch,field.err_roll,field.err_dip,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1704779910031972383,2862,0,,0,0,,0,0,0,0,0,0,36.90411263,118.16645613,25.43,0.0,0.004,0.0,-0.16,0.24,92.05,194329.1,0.0,0.0,-0.002,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779910131643098,2863,0,,0,0,,0,0,0,0,0,0,36.90411263,118.16645613,25.43,0.0,0.004,0.0,-0.16,0.23,92.05,194329.2,0.0,0.0,-0.002,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779910231230402,2864,0,,0,0,,0,0,0,0,0,0,36.90411264,118.16645614,25.43,0.0,0.005,0.0,-0.16,0.24,92.05,194329.3,0.0,0.0,-0.002,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779910331866975,2865,0,,0,0,,0,0,0,0,0,0,36.90411264,118.16645615,25.43,0.0,0.004,0.0,-0.16,0.24,92.05,194329.4,0.0,0.0,-0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779910431940219,2866,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645615,25.43,0.0,0.005,0.0,-0.15,0.24,92.05,194329.5,0.0,0.0,-0.001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779910531389169,2867,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645616,25.43,0.0,0.004,0.0,-0.16,0.24,92.05,194329.6,0.0,0.0,-0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779910631050797,2868,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645615,25.44,0.0,0.004,0.0,-0.15,0.24,92.05,194329.7,0.0,0.0,-0.002,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779910730888855,2869,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645616,25.44,0.0,0.005,0.0,-0.15,0.24,92.05,194329.8,0.0,0.0,-0.001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779910831391747,2870,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645614,25.44,0.0,0.004,0.0,-0.15,0.24,92.05,194329.9,0.0,0.0,-0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779910932692471,2871,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645615,25.44,0.0,0.005,0.0,-0.15,0.24,92.05,194330.0,0.0,0.0,-0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779911031263270,2872,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645614,25.44,0.0,0.003,0.0,-0.15,0.23,92.05,194330.1,0.0,0.0,-0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779911130657630,2873,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645614,25.44,0.0,0.004,0.0,-0.15,0.23,92.05,194330.2,0.0,0.0,-0.002,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779911231564072,2874,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645613,25.44,0.0,0.002,0.0,-0.15,0.23,92.05,194330.3,0.0,0.0,-0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779911331807834,2875,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645614,25.44,0.0,0.004,0.0,-0.15,0.22,92.05,194330.4,0.0,0.0,-0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779911430986304,2876,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645613,25.44,0.0,0.006,0.0,-0.15,0.23,92.05,194330.5,0.0,0.0,-0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779911530383195,2877,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645614,25.44,0.0,0.003,0.0,-0.15,0.24,92.05,194330.6,0.0,0.0,-0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779911631108326,2878,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645613,25.44,0.0,0.003,0.0,-0.15,0.24,92.05,194330.7,0.0,0.0,-0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779911730726930,2879,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645613,25.44,0.0,0.004,0.0,-0.15,0.24,92.05,194330.8,0.0,0.0,-0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779911831133967,2880,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645612,25.44,0.0,0.002,0.0,-0.15,0.24,92.05,194330.9,0.0,0.0,-0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779911930015421,2881,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645612,25.44,0.0,0.004,0.0,-0.15,0.24,92.05,194331.0,0.0,0.0,-0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779912031234443,2882,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645611,25.44,0.0,0.003,0.0,-0.15,0.24,92.05,194331.1,0.0,0.0,-0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779912131223018,2883,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645611,25.44,0.0,0.003,0.0,-0.15,0.24,92.05,194331.2,0.0,0.0,-0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779912232841293,2884,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645611,25.44,0.0,0.004,0.0,-0.15,0.24,92.05,194331.3,0.0,0.0,-0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779912331308895,2885,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645611,25.44,0.0,0.003,0.0,-0.15,0.24,92.05,194331.4,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779912431213450,2886,0,,0,0,,0,0,0,0,0,0,36.90411265,118.1664561,25.44,0.0,0.004,0.0,-0.15,0.24,92.05,194331.5,0.0,0.0,-0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779912530912412,2887,0,,0,0,,0,0,0,0,0,0,36.90411265,118.1664561,25.44,0.0,0.003,0.0,-0.15,0.24,92.04,194331.6,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779912631500187,2888,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645611,25.43,0.0,0.003,0.0,-0.15,0.24,92.04,194331.7,0.0,0.0,-0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779912730946870,2889,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645611,25.43,0.0,0.003,0.0,-0.15,0.24,92.04,194331.8,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779912830693451,2890,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645611,25.43,0.0,0.003,0.0,-0.15,0.24,92.04,194331.9,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779912930867141,2891,0,,0,0,,0,0,0,0,0,0,36.90411265,118.16645611,25.43,0.0,0.004,0.0,-0.15,0.24,92.04,194332.0,0.0,0.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779913031105165,2892,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645611,25.43,0.0,0.003,0.0,-0.15,0.24,92.04,194332.1,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779913132567956,2893,0,,0,0,,0,0,0,0,0,0,36.90411266,118.16645611,25.43,0.0,0.003,0.0,-0.15,0.24,92.04,194332.2,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779913231390368,2894,0,,0,0,,0,0,0,0,0,0,36.90411266,118.1664561,25.43,0.0,0.002,0.0,-0.14,0.24,92.04,194332.3,0.0,0.0,-0.002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704779913331573385,2895,0,,0,0,,0,0,0,0,0,0,36.90411266,118.1664561,25.43,0.0,0.003,0.0,-0.14,0.24,92.04,194332.4,0.0,0.0,-0.003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
