%time,field.header.seq,field.header.stamp,field.header.frame_id,field.id,field.is_rtr,field.is_extended,field.is_error,field.dlc
1704781114721953964,509057,1704781114721385810,,18,0,0,0,3
1704781114722507588,509058,1704781114721653015,,19,0,0,0,3
1704781114722540305,509059,1704781114721755359,,20,0,0,0,3
1704781114722555566,509060,1704781114721923099,,21,0,0,0,3
1704781114722967997,509061,1704781114722045263,,22,0,0,0,3
1704781114723007667,509062,1704781114722216395,,23,0,0,0,3
1704781114723096046,509063,1704781114722351846,,24,0,0,0,3
1704781114723649884,509064,1704781114723145369,,25,0,0,0,3
1704781114723692756,509065,1704781114723213482,,26,0,0,0,3
1704781114723785996,509066,1704781114723256060,,27,0,0,0,3
1704781114724785550,509067,1704781114723293812,,64,0,0,0,3
1704781114727567116,509068,1704781114727189685,,608,0,0,0,8
1704781114727748643,509069,1704781114727414957,,609,0,0,0,8
1704781114727898472,509070,1704781114727625706,,1554,0,0,0,8
1704781114731446112,509071,1704781114731173515,,0,0,0,0,0
1704781114747366627,509072,1704781114747165068,,514,0,0,0,8
1704781114747516551,509073,1704781114747385655,,513,0,0,0,8
1704781114747719716,509074,1704781114747611271,,515,0,0,0,8
1704781114748003203,509075,1704781114747889646,,520,0,0,0,8
1704781114748241965,509076,1704781114748132349,,1554,0,0,0,8
1704781114748458833,509077,1704781114748360418,,521,0,0,0,8
1704781114750323190,509078,1704781114750210265,,0,0,0,0,0
1704781114769396933,509079,1704781114769193555,,1554,0,0,0,8
1704781114770197415,509080,1704781114770052684,,0,0,0,0,0
1704781114776605273,509081,1704781114776429730,,514,0,0,0,8
1704781114776796385,509082,1704781114776617007,,513,0,0,0,8
1704781114777076334,509083,1704781114776922898,,515,0,0,0,8
1704781114777340166,509084,1704781114777171676,,520,0,0,0,8
1704781114777513956,509085,1704781114777390711,,521,0,0,0,8
1704781114787279559,509086,1704781114787036170,,1554,0,0,0,8
1704781114790467363,509087,1704781114790274394,,0,0,0,0,0
1704781114807305214,509088,1704781114807096868,,514,0,0,0,8
1704781114807444643,509089,1704781114807256901,,513,0,0,0,8
1704781114807751056,509090,1704781114807517930,,515,0,0,0,8
1704781114808008684,509091,1704781114807795289,,520,0,0,0,8
1704781114808188167,509092,1704781114808041782,,1554,0,0,0,8
1704781114808375126,509093,1704781114808264472,,521,0,0,0,8
1704781114810301819,509094,1704781114810156054,,0,0,0,0,0
1704781114821405231,509095,1704781114821200033,,16,0,0,0,3
1704781114821415635,509096,1704781114821261096,,17,0,0,0,3
1704781114821623247,509097,1704781114821466395,,18,0,0,0,3
1704781114821639228,509098,1704781114821552413,,19,0,0,0,3
1704781114821814100,509099,1704781114821690779,,20,0,0,0,3
1704781114822010894,509100,1704781114821881818,,21,0,0,0,3
1704781114822095107,509101,1704781114822001511,,22,0,0,0,3
1704781114822245153,509102,1704781114822151788,,23,0,0,0,3
1704781114822419654,509103,1704781114822307911,,24,0,0,0,3
1704781114822592420,509104,1704781114822499857,,25,0,0,0,3
1704781114822702350,509105,1704781114822609288,,26,0,0,0,3
1704781114822847776,509106,1704781114822759643,,27,0,0,0,3
1704781114823027667,509107,1704781114822934221,,64,0,0,0,3
1704781114829377252,509108,1704781114829047024,,1554,0,0,0,8
1704781114830464097,509109,1704781114830228288,,0,0,0,0,0
1704781114836710405,509110,1704781114836480683,,514,0,0,0,8
1704781114836723776,509111,1704781114836606180,,513,0,0,0,8
1704781114837057606,509112,1704781114836925896,,515,0,0,0,8
1704781114837255866,509113,1704781114837125511,,520,0,0,0,8
1704781114837502041,509114,1704781114837369810,,521,0,0,0,8
1704781114837752914,509115,1704781114837600201,,608,0,0,0,8
1704781114837936734,509116,1704781114837828898,,609,0,0,0,8
1704781114847321378,509117,1704781114847102467,,1554,0,0,0,8
1704781114850462821,509118,1704781114850317372,,0,0,0,0,0
1704781114867743996,509119,1704781114867142084,,514,0,0,0,8
1704781114867794960,509120,1704781114867227225,,513,0,0,0,8
1704781114868071356,509121,1704781114867620207,,515,0,0,0,8
1704781114868258994,509122,1704781114867893116,,520,0,0,0,8
1704781114868464445,509123,1704781114867998117,,1554,0,0,0,8
1704781114868574963,509124,1704781114868284745,,521,0,0,0,8
1704781114871184994,509125,1704781114870798986,,0,0,0,0,0
1704781114889489808,509126,1704781114888893112,,1554,0,0,0,8
1704781114891160770,509127,1704781114890723694,,0,0,0,0,0
1704781114897329517,509128,1704781114896602633,,514,0,0,0,8
1704781114897375796,509129,1704781114896850306,,513,0,0,0,8
1704781114897408942,509130,1704781114896915410,,515,0,0,0,8
1704781114897898433,509131,1704781114897179388,,520,0,0,0,8
1704781114897926901,509132,1704781114897466466,,521,0,0,0,8
1704781114907725683,509133,1704781114907168004,,1554,0,0,0,8
1704781114911615807,509134,1704781114911175460,,0,0,0,0,0
1704781114921796085,509135,1704781114921194742,,16,0,0,0,3
1704781114921834115,509136,1704781114921260558,,17,0,0,0,3
1704781114921983181,509137,1704781114921369051,,18,0,0,0,3
1704781114922014743,509138,1704781114921653332,,19,0,0,0,3
1704781114922734486,509139,1704781114921725119,,20,0,0,0,3
1704781114922777441,509140,1704781114921791363,,21,0,0,0,3
1704781114922798452,509141,1704781114922135092,,22,0,0,0,3
1704781114922875590,509142,1704781114922188281,,23,0,0,0,3
1704781114922895991,509143,1704781114922298573,,24,0,0,0,3
1704781114922932195,509144,1704781114922409871,,25,0,0,0,3
1704781114923103690,509145,1704781114922603801,,26,0,0,0,3
1704781114923165994,509146,1704781114922773694,,27,0,0,0,3
1704781114923615395,509147,1704781114923036684,,64,0,0,0,3
1704781114927626716,509148,1704781114927081843,,514,0,0,0,8
1704781114927745595,509149,1704781114927301590,,513,0,0,0,8
1704781114928593606,509150,1704781114927592005,,515,0,0,0,8
1704781114928639428,509151,1704781114927905478,,520,0,0,0,8
1704781114928762219,509152,1704781114928145813,,1554,0,0,0,8
1704781114928787454,509153,1704781114928246889,,521,0,0,0,8
1704781114931840198,509154,1704781114931486852,,0,0,0,0,0
1704781114949706331,509155,1704781114948799176,,608,0,0,0,8
1704781114949765934,509156,1704781114948993077,,609,0,0,0,8
1704781114949789714,509157,1704781114949218573,,1554,0,0,0,8
1704781114951460004,509158,1704781114951054909,,0,0,0,0,0
1704781114957308961,509159,1704781114956419974,,514,0,0,0,8
1704781114957368096,509160,1704781114956651324,,513,0,0,0,8
1704781114957406404,509161,1704781114956911766,,515,0,0,0,8
1704781114957672353,509162,1704781114957254314,,520,0,0,0,8
1704781114957823088,509163,1704781114957461739,,521,0,0,0,8
1704781114967638029,509164,1704781114967114839,,1554,0,0,0,8
1704781114971549462,509165,1704781114971105213,,0,0,0,0,0
1704781114987607745,509166,1704781114987171256,,514,0,0,0,8
1704781114987672804,509167,1704781114987216991,,513,0,0,0,8
1704781114987873770,509168,1704781114987523871,,515,0,0,0,8
1704781114988236371,509169,1704781114987777764,,520,0,0,0,8
1704781114988320475,509170,1704781114988006980,,1554,0,0,0,8
1704781114988447692,509171,1704781114988188023,,521,0,0,0,8
1704781114991666786,509172,1704781114991201199,,0,0,0,0,0
1704781115009029548,509173,1704781115008773123,,1554,0,0,0,8
1704781115010260646,509174,1704781115010118894,,0,0,0,0,0
1704781115016585152,509175,1704781115016375121,,514,0,0,0,8
1704781115016659848,509176,1704781115016554199,,513,0,0,0,8
1704781115016969324,509177,1704781115016779646,,515,0,0,0,8
1704781115017217712,509178,1704781115017076381,,520,0,0,0,8
1704781115017501484,509179,1704781115017331259,,521,0,0,0,8
1704781115021197303,509180,1704781115020994770,,16,0,0,0,3
1704781115021208627,509181,1704781115021108193,,17,0,0,0,3
1704781115021460463,509182,1704781115021253688,,18,0,0,0,3
1704781115021588826,509183,1704781115021436790,,19,0,0,0,3
1704781115021748780,509184,1704781115021560244,,20,0,0,0,3
1704781115021906494,509185,1704781115021739433,,21,0,0,0,3
1704781115021964079,509186,1704781115021845842,,22,0,0,0,3
1704781115022184949,509187,1704781115022042048,,23,0,0,0,3
1704781115022357717,509188,1704781115022178121,,24,0,0,0,3
1704781115022638201,509189,1704781115022377147,,25,0,0,0,3
1704781115022707796,509190,1704781115022517968,,26,0,0,0,3
1704781115022833140,509191,1704781115022646053,,27,0,0,0,3
1704781115022976674,509192,1704781115022873139,,64,0,0,0,3
1704781115027139497,509193,1704781115026956971,,1554,0,0,0,8
1704781115030683793,509194,1704781115030525678,,0,0,0,0,0
1704781115047108893,509195,1704781115046913086,,514,0,0,0,8
1704781115047264882,509196,1704781115047112313,,513,0,0,0,8
1704781115047430109,509197,1704781115047314016,,515,0,0,0,8
1704781115047706683,509198,1704781115047590498,,520,0,0,0,8
1704781115047950125,509199,1704781115047835566,,1554,0,0,0,8
1704781115048189599,509200,1704781115048071376,,521,0,0,0,8
1704781115050427749,509201,1704781115050308095,,0,0,0,0,0
1704781115056533985,509202,1704781115056338620,,608,0,0,0,8
1704781115056542884,509203,1704781115056437431,,609,0,0,0,8
1704781115069014393,509204,1704781115068759529,,1554,0,0,0,8
1704781115070343317,509205,1704781115070192752,,0,0,0,0,0
1704781115076651611,509206,1704781115076376271,,514,0,0,0,8
1704781115076974846,509207,1704781115076613211,,513,0,0,0,8
1704781115077002447,509208,1704781115076800012,,515,0,0,0,8
1704781115077322333,509209,1704781115077064126,,520,0,0,0,8
1704781115077473656,509210,1704781115077315129,,521,0,0,0,8
1704781115087539885,509211,1704781115087085101,,1554,0,0,0,8
1704781115090902461,509212,1704781115090601945,,0,0,0,0,0
1704781115107501975,509213,1704781115107050029,,514,0,0,0,8
1704781115107530121,509214,1704781115107179557,,513,0,0,0,8
1704781115107823317,509215,1704781115107540825,,515,0,0,0,8
1704781115107946912,509216,1704781115107715464,,520,0,0,0,8
1704781115108202517,509217,1704781115107944360,,1554,0,0,0,8
1704781115108457136,509218,1704781115108175627,,521,0,0,0,8
1704781115110932709,509219,1704781115110614974,,0,0,0,0,0
1704781115121637789,509220,1704781115121066196,,16,0,0,0,3
1704781115121821890,509221,1704781115121143122,,17,0,0,0,3
1704781115121839759,509222,1704781115121341108,,18,0,0,0,3
1704781115121858851,509223,1704781115121467101,,19,0,0,0,3
1704781115122056531,509224,1704781115121622911,,20,0,0,0,3
1704781115122129916,509225,1704781115121740697,,21,0,0,0,3
1704781115122152129,509226,1704781115121879774,,22,0,0,0,3
1704781115122316758,509227,1704781115122031008,,23,0,0,0,3
1704781115122571554,509228,1704781115122223216,,24,0,0,0,3
1704781115122834842,509229,1704781115122537873,,25,0,0,0,3
1704781115122857764,509230,1704781115122578713,,26,0,0,0,3
1704781115122906381,509231,1704781115122629061,,27,0,0,0,3
1704781115123000222,509232,1704781115122766295,,64,0,0,0,3
1704781115129299494,509233,1704781115128795235,,1554,0,0,0,8
1704781115131183533,509234,1704781115130713015,,0,0,0,0,0
1704781115136719397,509235,1704781115136372651,,514,0,0,0,8
1704781115136889905,509236,1704781115136605662,,513,0,0,0,8
1704781115137168360,509237,1704781115136894015,,515,0,0,0,8
1704781115137479560,509238,1704781115137109567,,520,0,0,0,8
1704781115137492214,509239,1704781115137288788,,521,0,0,0,8
1704781115147528715,509240,1704781115147132250,,1554,0,0,0,8
1704781115151396110,509241,1704781115151086104,,0,0,0,0,0
1704781115167492863,509242,1704781115167073612,,514,0,0,0,8
1704781115167527739,509243,1704781115167287772,,513,0,0,0,8
1704781115167918932,509244,1704781115167580622,,515,0,0,0,8
1704781115167937261,509245,1704781115167770265,,520,0,0,0,8
1704781115168317616,509246,1704781115168032960,,1554,0,0,0,8
1704781115168528294,509247,1704781115168289373,,521,0,0,0,8
1704781115168798463,509248,1704781115168528578,,608,0,0,0,8
1704781115169088835,509249,1704781115168755443,,609,0,0,0,8
1704781115171031527,509250,1704781115170758955,,0,0,0,0,0
1704781115189437998,509251,1704781115189081989,,1554,0,0,0,8
1704781115190802676,509252,1704781115190498893,,0,0,0,0,0
1704781115197157506,509253,1704781115196721984,,514,0,0,0,8
1704781115197203691,509254,1704781115196772060,,513,0,0,0,8
1704781115197488826,509255,1704781115197066202,,515,0,0,0,8
1704781115198331593,509256,1704781115197313609,,520,0,0,0,8
1704781115198353628,509257,1704781115197524284,,521,0,0,0,8
1704781115207684377,509258,1704781115207257274,,1554,0,0,0,8
1704781115211017375,509259,1704781115210739741,,0,0,0,0,0
1704781115221435390,509260,1704781115221016927,,16,0,0,0,3
1704781115221484245,509261,1704781115221070099,,17,0,0,0,3
1704781115221504053,509262,1704781115221256056,,18,0,0,0,3
1704781115221809202,509263,1704781115221423509,,19,0,0,0,3
1704781115221843222,509264,1704781115221525945,,20,0,0,0,3
1704781115222063087,509265,1704781115221753864,,21,0,0,0,3
1704781115222240657,509266,1704781115221847978,,22,0,0,0,3
1704781115222256027,509267,1704781115221989247,,23,0,0,0,3
1704781115222450679,509268,1704781115222172956,,24,0,0,0,3
1704781115222465597,509269,1704781115222284223,,25,0,0,0,3
1704781115222909240,509270,1704781115222432930,,26,0,0,0,3
1704781115222941105,509271,1704781115222592037,,27,0,0,0,3
1704781115223138512,509272,1704781115222894120,,64,0,0,0,3
1704781115227342453,509273,1704781115227004618,,514,0,0,0,8
1704781115227539855,509274,1704781115227250090,,513,0,0,0,8
