%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1704780817146516017,11936,1704780817146021913,gnss_link,0,1,36.90414762,118.16648076,4.760560067739733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780817246835521,11937,1704780817246259844,gnss_link,0,1,36.90414766,118.16648008,4.763003528692525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780817346884226,11938,1704780817346448926,gnss_link,0,1,36.90414769,118.16647935,4.7654469896453175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780817446847975,11939,1704780817446494511,gnss_link,0,1,36.90414773,118.16647856,4.76771591767291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780817547116068,11940,1704780817546666447,gnss_link,0,1,36.90414777,118.16647773,4.771730174952497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780817647427254,11941,1704780817646950721,gnss_link,0,1,36.90414782,118.16647684,4.776791629783281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780817746452685,11942,1704780817746026502,gnss_link,0,1,36.90414787,118.1664759,4.782725749240061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780817846911007,11943,1704780817846353825,gnss_link,0,1,36.90414793,118.1664749,4.78918346747244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780817946755599,11944,1704780817946415241,gnss_link,0,1,36.904148,118.16647386,4.794419455228423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780818046924708,11945,1704780818046499698,gnss_link,0,1,36.90414808,118.16647277,4.794943054004022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
