%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1704781114553752514,14911,1704781114553492443,gnss_link,0,1,36.90474509,118.16621988,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781114653628370,14912,1704781114653322178,gnss_link,0,1,36.9047451,118.16621988,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781114752976898,14913,1704781114752812937,gnss_link,0,1,36.90474511,118.16621988,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781114854026666,14914,1704781114853797856,gnss_link,0,1,36.90474512,118.16621988,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781114953836335,14915,1704781114953412958,gnss_link,0,1,36.90474513,118.16621987,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781115053489251,14916,1704781115053161061,gnss_link,0,1,36.90474513,118.16621988,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781115153099908,14917,1704781115152662899,gnss_link,0,1,36.90474514,118.16621987,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781115253930400,14918,1704781115253571488,gnss_link,0,1,36.90474515,118.16621987,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781115353426507,14919,1704781115353113313,gnss_link,0,1,36.90474516,118.16621986,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781115454352463,14920,1704781115453873654,gnss_link,0,1,36.90474516,118.16621987,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781115553466324,14921,1704781115553228217,gnss_link,0,1,36.90474517,118.16621986,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781115653759432,14922,1704781115653267986,gnss_link,0,1,36.90474517,118.16621986,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781115752862771,14923,1704781115752579033,gnss_link,0,1,36.90474518,118.16621985,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781115853946870,14924,1704781115853571305,gnss_link,0,1,36.90474517,118.16621986,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781115953195543,14925,1704781115952960593,gnss_link,0,1,36.90474518,118.16621985,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781116053639037,14926,1704781116053220079,gnss_link,0,1,36.90474518,118.16621986,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781116152424256,14927,1704781116152215792,gnss_link,0,1,36.90474518,118.16621985,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781116253013220,14928,1704781116252851737,gnss_link,0,1,36.9047452,118.16621984,5.749114556069321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781116353505775,14929,1704781116353030230,gnss_link,0,1,36.90474526,118.16621979,5.749289088994521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781116453108986,14930,1704781116452690436,gnss_link,0,1,36.90474535,118.16621972,5.749463621919721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781116552960036,14931,1704781116552446690,gnss_link,0,1,36.90474549,118.16621961,5.74963815484492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704781116653704528,14932,1704781116653260194,gnss_link,0,1,36.90474566,118.1662195,5.74963815484492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
